CustomerID,Age,AgeBand,AgeBandSort,Gender,IncomeBand,Region,City,MaritalStatus,EducationLevel
CUST00001,56.0,55-64,5,Male,Very High,Atlantic,Moncton,Divorced,College
CUST00002,69.0,65+,6,Male,Very High,Quebec,Montreal,Married,PhD
CUST00003,46.0,45-54,4,Male,Medium,Quebec,Quebec City,Divorced,Bachelor
CUST00004,32.0,25-34,2,Female,Medium,Ontario,Toronto,Single,College
CUST00005,60.0,55-64,5,Male,Medium,Quebec,Montreal,Single,College
CUST00006,25.0,25-34,2,Female,Medium,Ontario,Hamilton,Single,College
CUST00007,38.0,35-44,3,Male,High,BC,Vancouver,Married,High School
CUST00008,56.0,55-64,5,Male,Medium,Prairies,Saskatoon,Divorced,Master
CUST00009,36.0,35-44,3,Female,High,Ontario,Hamilton,Married,College
CUST00010,40.0,35-44,3,Female,Very High,Alberta,Red Deer,Married,Master
CUST00011,28.0,25-34,2,Male,Medium,Ontario,Toronto,Married,Bachelor
CUST00012,28.0,25-34,2,Male,Medium,Quebec,Montreal,Single,High School
CUST00013,41.0,35-44,3,Male,Low,Ontario,Hamilton,Married,Master
CUST00014,70.0,65+,6,Male,Low,Quebec,Quebec City,Married,College
CUST00015,53.0,45-54,4,Female,medium,Ontario,London,Single,Bachelor
CUST00016,57.0,55-64,5,Male,Low,Quebec,Montreal,Single,Master
CUST00017,41.0,35-44,3,Male,High,Quebec,Laval,Married,PhD
CUST00018,20.0,18-24,1,Male,Low,Ontario,Ottawa,Married,High School
CUST00019,39.0,35-44,3,Female,Medium,BC,Vancouver,Single,High School
CUST00020,70.0,65+,6,Female,Medium,Prairies,Regina,Married,Bachelor
CUST00021,19.0,18-24,1,Male,High,Quebec,Laval,Widowed,College
CUST00022,41.0,35-44,3,Female,Medium,Ontario,London,Married,Bachelor
CUST00023,61.0,55-64,5,Male,High,Ontario,London,Single,High School
CUST00024,47.0,45-54,4,Male,Medium,Alberta,Calgary,Married,Bachelor
CUST00025,55.0,55-64,5,Female,Medium,Quebec,Quebec City,Married,High School
CUST00026,19.0,18-24,1,Female,Low,Quebec,Quebec City,Single,Master
CUST00027,38.0,35-44,3,Female,Medium,Ontario,London,Single,Bachelor
CUST00028,50.0,45-54,4,Female,High,Quebec,Laval,Married,High School
CUST00029,29.0,25-34,2,Male,Medium,Ontario,Ottawa,Married,Master
CUST00030,39.0,35-44,3,Female,High,Prairies,Regina,Single,College
CUST00031,61.0,55-64,5,Male,Medium,Prairies,Winnipeg,Married,College
CUST00032,42.0,35-44,3,Female,Low,Ontario,Ottawa,Divorced,High School
CUST00033,66.0,65+,6,Male,Low,Quebec,Montreal,Divorced,Master
CUST00034,44.0,35-44,3,Female,Medium,Ontario,Hamilton,Married,College
CUST00035,59.0,55-64,5,Male,High,Quebec,Montreal,Married,High School
CUST00036,45.0,45-54,4,Male,High,Prairies,Saskatoon,Divorced,PhD
CUST00037,33.0,25-34,2,Female,Medium,Quebec,Montreal,Divorced,College
CUST00038,32.0,25-34,2,Male,Medium,Ontario,Ottawa,Divorced,Master
CUST00039,64.0,55-64,5,Female,Medium,Ontario,Ottawa,Single,College
CUST00040,68.0,65+,6,Male,Medium,Alberta,Edmonton,Single,Master
CUST00041,61.0,55-64,5,Male,Low,BC,Victoria,Widowed,Bachelor
CUST00042,72.0,65+,6,Male,Low,Quebec,Quebec City,Widowed,Master
CUST00043,69.0,65+,6, Male,Low,Ontario,Hamilton,Married,PhD
CUST00044,74.0,65+,6, Female,Low,Ontario,Toronto,Widowed,Master
CUST00045,20.0,18-24,1,Male,Low,Atlantic,St. John's,Married,College
CUST00046,54.0,45-54,4,Female,Low,Quebec,Montreal,Married,Master
CUST00047,68.0,65+,6,Female,Medium,Quebec,Montreal,Married,Bachelor
CUST00048,24.0,18-24,1,Male,Medium,Quebec,Montreal,Married,High School
