CustomerID,DrivingExperienceYears,DrivingExperienceBand,DrivingExperienceSort,VehicleType,PreviousAccidents
CUST00001,14.0,11-20 yrs,4,SUV,0
CUST00002,7.0,6-10 yrs,3,Sedan,1
CUST00003,10.0,6-10 yrs,3,Sedan,0
CUST00004,0.0,0-2 yrs,1,Sedan,1
CUST00005,4.0,3-5 yrs,2,SUV,0
CUST00006,14.0,11-20 yrs,4,Minivan,0
CUST00007,4.0,3-5 yrs,2,SUV,2
CUST00008,0.0,0-2 yrs,1,Truck,2
CUST00009,17.0,11-20 yrs,4,SUV,2
CUST00010,13.0,11-20 yrs,4,Minivan,1
CUST00011,2.0,0-2 yrs,1,Truck,1
CUST00012,10.0,6-10 yrs,3,Sedan,0
CUST00013,2.0,0-2 yrs,1,SUV,0
CUST00014,8.0,6-10 yrs,3,Minivan,0
CUST00015,11.0,11-20 yrs,4,Truck,0
CUST00016,4.0,3-5 yrs,2,Minivan,0
CUST00017,15.0,11-20 yrs,4,Sedan,0
CUST00018,16.0,11-20 yrs,4,Sports,0
CUST00019,11.0,11-20 yrs,4,Sedan,0
CUST00020,12.0,11-20 yrs,4,Sedan,1
CUST00021,0.0,0-2 yrs,1,SUV,0
CUST00022,19.0,11-20 yrs,4,Sedan,0
CUST00023,9.0,6-10 yrs,3,Truck,0
CUST00024,3.0,3-5 yrs,2,Minivan,0
CUST00025,11.0,11-20 yrs,4,Sports,3
CUST00026,15.0,11-20 yrs,4,SUV,1
CUST00027,13.0,11-20 yrs,4,SUV,0
CUST00028,2.0,0-2 yrs,1,Sports,0
CUST00029,15.0,11-20 yrs,4,SUV,0
CUST00030,9.0,6-10 yrs,3,Sports,1
CUST00031,13.0,11-20 yrs,4,Minivan,3
CUST00032,4.0,3-5 yrs,2,Sedan,0
CUST00033,17.0,11-20 yrs,4,Sedan,1
CUST00034,11.0,11-20 yrs,4,SUV,0
CUST00035,18.0,11-20 yrs,4,Minivan,1
CUST00036,0.0,0-2 yrs,1,Minivan,0
CUST00037,0.0,0-2 yrs,1,SUV,0
CUST00038,8.0,6-10 yrs,3,Sedan,0
CUST00039,20.0,11-20 yrs,4,Sedan,0
CUST00040,23.0,20+ yrs,5,Sports,1
CUST00041,3.0,3-5 yrs,2,SUV,2
CUST00042,,6-10 yrs,3,SUV,0
CUST00043,11.0,11-20 yrs,4,Minivan,0
CUST00044,15.0,11-20 yrs,4,Minivan,0
CUST00045,16.0,11-20 yrs,4,SUV,0
CUST00046,2.0,0-2 yrs,1,SUV,0
CUST00047,10.0,6-10 yrs,3,Truck,0
CUST00048,0.0,0-2 yrs,1,Sedan,1
CUST00049,15.0,11-20 yrs,4,SUV,1
CUST00050,7.0,6-10 yrs,3,Sedan,0
CUST00051,1.0,0-2 yrs,1,Minivan,1
CUST00052,12.0,11-20 yrs,4,Sports,2
CUST00053,7.0,6-10 yrs,3,Sports,0
CUST00054,18.0,11-20 yrs,4,SUV,0
CUST00055,3.0,3-5 yrs,2,SUV,1
CUST00056,25.0,20+ yrs,5,Sedan,1
CUST00057,15.0,11-20 yrs,4,SEDAN,0
CUST00058,19.0,11-20 yrs,4,SUV,1
CUST00059,2.0,0-2 yrs,1,Truck,0
CUST00060,,20+ yrs,5,Sedan,0
CUST00061,1.0,0-2 yrs,1,SUV,1
CUST00062,8.0,6-10 yrs,3,SUV,2
CUST00063,19.0,11-20 yrs,4,Sedan,1
CUST00064,13.0,11-20 yrs,4,Sedan,2
CUST00065,,0-2 yrs,1,SUV,0
CUST00066,,11-20 yrs,4,SUV,0
CUST00067,12.0,11-20 yrs,4,SUV,0
CUST00068,7.0,6-10 yrs,3,SUV,0
CUST00069,0.0,0-2 yrs,1,Sedan,1
CUST00070,13.0,11-20 yrs,4,Sedan,0
CUST00071,8.0,6-10 yrs,3,SEDAN,0
CUST00072,11.0,11-20 yrs,4,Sedan,1
CUST00073,0.0,0-2 yrs,1,Minivan,0
CUST00074,7.0,6-10 yrs,3,Sedan,0
CUST00075,13.0,11-20 yrs,4,Sedan,2
CUST00076,23.0,20+ yrs,5,Sedan,1
CUST00077,,6-10 yrs,3,SUV,1
CUST00078,20.0,11-20 yrs,4,Sedan,1
CUST00079,15.0,11-20 yrs,4,Sedan,0
CUST00080,11.0,11-20 yrs,4,Sedan,0
CUST00081,2.0,0-2 yrs,1,SPORTS,0
CUST00082,3.0,3-5 yrs,2,Minivan,1
CUST00083,14.0,11-20 yrs,4,Truck,0
CUST00084,6.0,6-10 yrs,3,Sedan,1
CUST00085,5.0,3-5 yrs,2,Sedan,0
CUST00086,8.0,6-10 yrs,3,Truck,1
CUST00087,8.0,6-10 yrs,3,Sedan,0
CUST00088,16.0,11-20 yrs,4,SUV,1
CUST00089,6.0,6-10 yrs,3,Truck,1
CUST00090,15.0,11-20 yrs,4,SUV,1
CUST00091,13.0,11-20 yrs,4,SUV,1
CUST00092,0.0,0-2 yrs,1,Sedan,0
CUST00093,12.0,11-20 yrs,4,Truck,0
CUST00094,,0-2 yrs,1,Truck,0
CUST00095,3.0,3-5 yrs,2,TRUCK,0
CUST00096,13.0,11-20 yrs,4,SUV,1
CUST00097,9.0,6-10 yrs,3,Truck,2
CUST00098,0.0,0-2 yrs,1,Sports,0
CUST00099,2.0,0-2 yrs,1,Truck,1
CUST00100,0.0,0-2 yrs,1,SUV,1
CUST00101,0.0,0-2 yrs,1,Truck,3
CUST00102,14.0,11-20 yrs,4,SUV,1
CUST00103,6.0,6-10 yrs,3,Minivan,1
CUST00104,11.0,11-20 yrs,4,Truck,0
CUST00105,10.0,6-10 yrs,3,Truck,0
CUST00106,10.0,6-10 yrs,3,Truck,0
CUST00107,17.0,11-20 yrs,4,Sedan,2
CUST00108,8.0,6-10 yrs,3,SUV,0
CUST00109,16.0,11-20 yrs,4,Sedan,0
CUST00110,0.0,0-2 yrs,1,SUV,3
CUST00111,17.0,11-20 yrs,4,Truck,1
CUST00112,0.0,0-2 yrs,1,SUV,1
CUST00113,2.0,0-2 yrs,1,Sedan,0
CUST00114,5.0,3-5 yrs,2,SUV,0
CUST00115,,11-20 yrs,4,Sedan,0
CUST00116,3.0,3-5 yrs,2,Truck,1
CUST00117,5.0,3-5 yrs,2,Truck,0
CUST00118,3.0,3-5 yrs,2,Minivan,0
CUST00119,11.0,11-20 yrs,4,Sedan,1
CUST00120,15.0,11-20 yrs,4,SEDAN,0
CUST00121,21.0,20+ yrs,5,Minivan,0
CUST00122,26.0,20+ yrs,5,Sedan,1
CUST00123,14.0,11-20 yrs,4,Truck,1
CUST00124,12.0,11-20 yrs,4,Truck,3
CUST00125,1.0,0-2 yrs,1,SUV,0
CUST00126,23.0,20+ yrs,5,SUV,0
CUST00127,11.0,11-20 yrs,4,Sedan,0
CUST00128,7.0,6-10 yrs,3,Sports,0
CUST00129,12.0,11-20 yrs,4,Sedan,2
CUST00130,5.0,3-5 yrs,2,Sedan,2
CUST00131,0.0,0-2 yrs,1,SUV,3
CUST00132,14.0,11-20 yrs,4,Sedan,0
CUST00133,19.0,11-20 yrs,4,Truck,1
CUST00134,13.0,11-20 yrs,4,SUV,0
CUST00135,9.0,6-10 yrs,3,Sedan,0
CUST00136,,6-10 yrs,3,Sedan,0
CUST00137,11.0,11-20 yrs,4,Sedan,0
CUST00138,10.0,6-10 yrs,3,Sedan,0
CUST00139,9.0,6-10 yrs,3,Sedan,0
CUST00140,10.0,6-10 yrs,3,Minivan,2
CUST00141,20.0,11-20 yrs,4,Sedan,1
CUST00142,13.0,11-20 yrs,4,Sedan,1
CUST00143,10.0,6-10 yrs,3,Sedan,0
CUST00144,14.0,11-20 yrs,4,SUV,1
CUST00145,14.0,11-20 yrs,4,Truck,1
CUST00146,16.0,11-20 yrs,4,Sports,0
CUST00147,4.0,3-5 yrs,2,SUV,1
CUST00148,6.0,6-10 yrs,3,Sedan,2
CUST00149,4.0,3-5 yrs,2,Sedan,1
CUST00150,15.0,11-20 yrs,4,Sedan,0
CUST00151,,11-20 yrs,4,Truck,0
CUST00152,1.0,0-2 yrs,1,Truck,0
CUST00153,12.0,11-20 yrs,4,Sedan,2
CUST00154,19.0,11-20 yrs,4,Minivan,1
CUST00155,8.0,6-10 yrs,3,Minivan,0
CUST00156,12.0,11-20 yrs,4,Minivan,1
CUST00157,15.0,11-20 yrs,4,Sedan,0
CUST00158,0.0,0-2 yrs,1,Sedan,0
CUST00159,11.0,11-20 yrs,4,Sedan,1
CUST00160,18.0,11-20 yrs,4,SUV,0
CUST00161,5.0,3-5 yrs,2,SUV,0
CUST00162,15.0,11-20 yrs,4,Minivan,0
CUST00163,10.0,6-10 yrs,3,Sedan,0
CUST00164,5.0,3-5 yrs,2,SUV,1
CUST00165,,6-10 yrs,3,Truck,1
CUST00166,6.0,6-10 yrs,3,Sedan,1
CUST00167,3.0,3-5 yrs,2,Sedan,0
CUST00168,8.0,6-10 yrs,3,Truck,1
CUST00169,10.0,6-10 yrs,3,Truck,0
CUST00170,8.0,6-10 yrs,3,Sports,0
CUST00171,8.0,6-10 yrs,3,Minivan,0
CUST00172,11.0,11-20 yrs,4,Minivan,0
CUST00173,13.0,11-20 yrs,4,Truck,0
CUST00174,1.0,0-2 yrs,1,Sedan,0
CUST00175,8.0,6-10 yrs,3,Minivan,1
CUST00176,0.0,0-2 yrs,1,Sports,0
CUST00177,8.0,6-10 yrs,3,SUV,0
CUST00178,11.0,11-20 yrs,4,Sedan,0
CUST00179,13.0,11-20 yrs,4,SUV,0
CUST00180,11.0,11-20 yrs,4,Sports,0
CUST00181,13.0,11-20 yrs,4,Sedan,2
CUST00182,10.0,6-10 yrs,3,Truck,0
CUST00183,5.0,3-5 yrs,2,Minivan,3
CUST00184,2.0,0-2 yrs,1,Truck,0
CUST00185,8.0,6-10 yrs,3,SUV,0
CUST00186,,3-5 yrs,2,Sports,1
CUST00187,9.0,6-10 yrs,3,Sedan,1
CUST00188,6.0,6-10 yrs,3,Sedan,0
CUST00189,12.0,11-20 yrs,4,Sedan,0
CUST00190,10.0,6-10 yrs,3,Sedan,1
CUST00191,13.0,11-20 yrs,4,SUV,3
CUST00192,13.0,11-20 yrs,4,Sedan,3
CUST00193,8.0,6-10 yrs,3,Truck,1
CUST00194,9.0,6-10 yrs,3,SUV,1
CUST00195,13.0,11-20 yrs,4,Truck,1
CUST00196,,20+ yrs,5,Sedan,1
CUST00197,3.0,3-5 yrs,2,Sedan,3
CUST00198,10.0,6-10 yrs,3,Sedan,1
CUST00199,1.0,0-2 yrs,1,Sedan,1
CUST00200,9.0,6-10 yrs,3,Sedan,0
CUST00201,5.0,3-5 yrs,2,Sedan,0
CUST00202,9.0,6-10 yrs,3,SUV,2
CUST00203,11.0,11-20 yrs,4,Sedan,0
CUST00204,6.0,6-10 yrs,3,Sedan,0
CUST00205,0.0,0-2 yrs,1,Sedan,0
CUST00206,19.0,11-20 yrs,4,Minivan,3
CUST00207,,11-20 yrs,4,Sedan,1
CUST00208,9.0,6-10 yrs,3,Sedan,0
CUST00209,3.0,3-5 yrs,2,SUV,0
CUST00210,10.0,6-10 yrs,3,Truck,1
CUST00211,12.0,11-20 yrs,4,SUV,0
CUST00212,15.0,11-20 yrs,4,SUV,0
CUST00213,16.0,11-20 yrs,4,Truck,3
CUST00214,17.0,11-20 yrs,4,SUV,1
CUST00215,,0-2 yrs,1,Sedan,1
CUST00216,7.0,6-10 yrs,3,Sedan,2
CUST00217,16.0,11-20 yrs,4,Sports,0
CUST00218,3.0,3-5 yrs,2,SUV,0
CUST00219,18.0,11-20 yrs,4,SUV,0
CUST00220,22.0,20+ yrs,5,Sedan,3
CUST00221,18.0,11-20 yrs,4,Minivan,0
CUST00222,14.0,11-20 yrs,4,Sedan,1
CUST00223,6.0,6-10 yrs,3,Sedan,0
CUST00224,11.0,11-20 yrs,4,SUV,1
CUST00225,0.0,0-2 yrs,1,SUV,1
CUST00226,4.0,3-5 yrs,2,Sports,0
CUST00227,5.0,3-5 yrs,2,Sedan,0
CUST00228,10.0,6-10 yrs,3,SUV,0
