PolicyID,CustomerID,RiskScore,RiskCategory,AnnualPremium,ClaimAmount,ClaimsCount,PolicyYear
POL000001,CUST03724,44.9,Medium,1992.77,0.0,0,2025
POL000002,CUST00692,10.9,Low,1326.17,6078.11,1,2025
POL000003,CUST00514,0.0,Low,961.23,2587.85,2,2025
POL000004,CUST03494,12.8,Low,994.65,0.0,0,2025
POL000005,CUST04921,,Low,1280.99,3304.59,1,2025
POL000006,CUST01052,18.5,Low,1510.17,787.33,1,2025
POL000007,CUST04165,1.2,Low,703.96,0.0,0,2025
POL000008,CUST01697,7.9,Low,1336.24,1384.8,1,2025
POL000009,CUST01898,60.1,High,1983.94,0.0,0,2025
POL000010,CUST02835,1.0,Low,1698.84,0.0,0,2025
POL000011,CUST02268,54.6,High,2014.45,0.0,0,2025
POL000012,CUST04580,33.0,Medium,1535.64,0.0,0,2025
POL000013,CUST04702,12.7,Low,1270.57,23130.79,1,2025
POL000014,CUST02803,34.0,Medium,1612.25,733.75,1,2025
POL000015,CUST03404,9.4,Low,913.05,0.0,0,2025
POL000016,CUST00991,5.5,Low,1166.28,2098.59,1,2025
POL000017,CUST02677,9.9,Low,1145.38,0.0,0,2025
POL000018,CUST01945,3.4,Low,1148.6,597.11,1,2025
POL000019,CUST04312,5.0,Low,1139.77,0.0,0,2025
POL000020,CUST00444,13.7,Low,1134.5,0.0,0,2025
POL000021,CUST04256,6.6,Low,916.94,0.0,0,2025
POL000022,CUST01502,26.0,Medium,1609.42,0.0,0,2025
POL000023,CUST02980,37.1,Medium,1680.01,11855.97,1,2025
POL000024,CUST01193,6.0,Low,1108.25,2141.97,1,2025
POL000025,CUST02191,4.3,Low,1184.78,0.0,0,2025
POL000026,CUST02099,42.5,Medium,,0.0,0,2025
POL000027,CUST01140,28.0,Medium,1363.09,0.0,0,2025
POL000028,CUST04287,10.2,Low,1073.2,0.0,0,2025
POL000029,CUST04446,26.4,Medium,1630.6,0.0,0,2025
POL000030,CUST02075,3.8,Low,1159.01,0.0,0,2025
POL000031,CUST02469,44.9,Medium,1547.72,3359.1,3,2025
POL000032,CUST03063,25.2,Medium,1589.67,0.0,0,2025
POL000033,CUST01565,41.6,Medium,1672.42,0.0,0,2025
POL000034,CUST04863,19.9,Low,1386.96,0.0,0,2025
POL000035,CUST01841,25.5,Medium,1469.52,0.0,0,2025
POL000036,CUST02628,1.4,Low,1114.51,15617.73,1,2025
POL000037,CUST00493,21.5,Low,1635.29,0.0,0,2025
POL000038,CUST03171,0.7,Low,863.2,0.0,0,2025
POL000039,CUST01042,35.9,Medium,1609.65,0.0,0,2025
POL000040,CUST04648,30.0,Medium,1492.45,0.0,0,2025
POL000041,CUST00049,32.0,Medium,2056.6,0.0,0,2025
POL000042,CUST01057,34.6,Medium,1356.63,0.0,0,2025
POL000043,CUST02567,4.2,Low,963.41,0.0,0,2025
POL000044,CUST02475,44.2,Medium,1661.61,0.0,0,2025
POL000045,CUST02796,29.6,Medium,1712.04,1843.74,1,2025
POL000046,CUST02039,34.4,Medium,1631.21,0.0,0,2025
POL000047,CUST02860,1.5,Low,960.83,0.0,0,2025
POL000048,CUST03290,21.2,Low,1560.02,0.0,0,2025
POL000049,CUST01281,6.0,Low,1084.75,670.0,1,2025
POL000050,CUST04203,25.4,Medium,1829.1,0.0,0,2025
POL000051,CUST04493,30.3,Medium,1962.23,0.0,0,2025
POL000052,CUST00906,6.7,Low,1055.24,0.0,0,2025
POL000053,CUST04247,43.3,Medium,1911.79,0.0,0,2025
POL000054,CUST03835,39.8,Medium,1787.48,1680.53,2,2025
POL000055,CUST04367,34.3,Medium,1334.46,0.0,0,2025
POL000056,CUST01548,35.4,Medium,1813.63,1861.88,1,2025
POL000057,CUST04209,50.6,High,1658.14,0.0,0,2025
POL000058,CUST04336,25.3,Medium,1339.73,0.0,0,2025
POL000059,CUST01744,15.4,Low,1218.18,0.0,0,2025
POL000060,CUST04726,27.9,Medium,1907.02,0.0,0,2025
POL000061,CUST02768,52.9,High,,2161.45,1,2025
POL000062,CUST00911,49.5,Medium,1686.9,0.0,0,2025
POL000063,CUST01879,51.5,High,1882.56,0.0,0,2025
POL000064,CUST01671,37.0,Medium,1569.62,0.0,0,2025
POL000065,CUST02440,20.3,Low,1386.07,0.0,0,2025
POL000066,CUST01790,11.8,Low,1221.25,0.0,0,2025
POL000067,CUST03188,26.6,Medium,1579.43,0.0,0,2025
POL000068,CUST02013,7.6,Low,1295.17,0.0,0,2025
POL000069,CUST01950,40.3,Medium,1752.86,0.0,0,2025
POL000070,CUST04762,45.5,Medium,2120.35,0.0,0,2025
POL000071,CUST04493,35.1,Medium,1942.39,0.0,0,2025
POL000072,CUST00169,7.6,Low,1316.99,0.0,0,2025
POL000073,CUST02285,26.8,Medium,1388.21,0.0,0,2025
POL000074,CUST03217,36.9,Medium,1757.11,0.0,0,2025
POL000075,CUST03885,20.9,Low,1169.87,2561.73,2,2025
POL000076,CUST03042,3.6,Low,1213.79,0.0,0,2025
POL000077,CUST04061,15.2,Low,1399.44,0.0,0,2025
POL000078,CUST02365,8.2,Low,1205.98,0.0,0,2025
POL000079,CUST03573,29.3,Medium,1537.44,0.0,0,2025
POL000080,CUST04202,49.4,Medium,1714.01,10419.54,2,2025
POL000081,CUST02055,31.9,Medium,1580.05,2517.06,1,2025
POL000082,CUST03406,18.6,Low,,8567.11,1,2025
POL000083,CUST01956,33.7,Medium,1564.56,0.0,0,2025
POL000084,CUST01936,6.0,Low,1113.4,0.0,0,2025
POL000085,CUST00271,7.9,Low,1376.52,0.0,0,2025
POL000086,CUST00424,0.0,Low,1064.51,0.0,0,2025
POL000087,CUST00878,12.7,Low,1368.59,0.0,0,2025
POL000088,CUST03108,16.0,Low,1129.17,1416.29,1,2025
POL000089,CUST03258,19.9,Low,1521.12,0.0,0,2025
POL000090,CUST04550,0.0,Low,932.23,0.0,0,2025
POL000091,CUST00983,20.1,Low,,0.0,0,2025
POL000092,CUST00192,77.9,Very High,2627.29,0.0,0,2025
POL000093,CUST01926,48.9,Medium,,0.0,0,2025
POL000094,CUST01546,16.9,Low,1270.97,0.0,0,2025
POL000095,CUST00012,21.3,Low,1166.8,0.0,0,2025
POL000096,CUST02629,11.3,Low,1142.56,0.0,0,2025
POL000097,CUST01410,42.9,Medium,1836.62,0.0,0,2025
POL000098,CUST03113,,Low,1405.54,7622.91,1,2025
POL000099,CUST01322,1.7,Low,1043.64,0.0,0,2025
POL000100,CUST02438,22.1,Low,1743.15,0.0,0,2025
POL000101,CUST01178,40.1,Medium,1509.28,271.02,1,2025
POL000102,CUST03546,21.9,Low,,0.0,0,2025
POL000103,CUST04518,10.4,Low,1119.65,0.0,0,2025
POL000104,CUST04369,9.4,Low,1496.69,0.0,0,2025
POL000105,CUST04269,18.6,Low,1130.77,0.0,0,2025
POL000106,CUST01390,0.0,Low,1042.74,0.0,0,2025
POL000107,CUST00859,0.0,Low,,0.0,0,2025
POL000108,CUST00217,6.7,Low,1045.54,0.0,0,2025
POL000109,CUST01768,41.1,Medium,1769.33,257.4,1,2025
POL000110,CUST01811,6.0,Low,1328.05,0.0,0,2025
POL000111,CUST03004,36.6,Medium,1950.99,692.52,1,2025
POL000112,CUST00214,20.9,Low,1255.09,397.92,1,2025
POL000113,CUST04747,13.4,Low,1649.9,0.0,0,2025
